id,appointment_id,amount,currency,status,payment_method,transaction_id,paid_at
45,800,800,MDL,paid,Cash,TXN-7558217733,2026-08-23 13:39:00
46,627,1200,MDL,paid,Bank Transfer,TXN-2896988571,2026-08-31 12:25:00
47,121,1000,MDL,paid,Bank Transfer,TXN-6775187808,2026-09-08 10:17:00
48,194,350,MDL,paid,Cash,TXN-7084979899,2026-09-23 16:44:00
49,501,500,MDL,paid,Card,TXN-3775467730,2026-09-24 19:33:00
50,747,400,MDL,paid,MIA (Mobile Payment),TXN-2716783897,2026-08-24 15:02:00
51,213,450,MDL,refunded,Card,TXN-6490491611,
52,502,1000,MDL,paid,Cash,TXN-8464861835,2026-09-21 16:00:00
53,95,1000,MDL,paid,MIA (Mobile Payment),TXN-8408970846,2026-08-23 16:16:00
54,397,300,MDL,refunded,Cash,TXN-7296564866,
55,623,500,MDL,paid,Cash,TXN-2184526830,2026-09-04 16:11:00
56,985,600,MDL,paid,MIA (Mobile Payment),TXN-2316592334,2026-08-05 08:51:00
57,638,900,MDL,refunded,MIA (Mobile Payment),TXN-3924307207,
58,698,350,MDL,refunded,Card,TXN-2118110400,
59,339,400,MDL,paid,Cash,TXN-1973596208,2026-09-24 12:25:00
60,646,600,MDL,pending,Card,TXN-1338992166,
61,120,500,MDL,refunded,MIA (Mobile Payment),TXN-7612779494,
62,137,400,MDL,paid,Bank Transfer,TXN-9553508268,2026-08-24 16:08:00
63,73,500,MDL,refunded,MIA (Mobile Payment),TXN-8388744879,
64,319,450,MDL,paid,Bank Transfer,TXN-9495482147,2026-08-11 15:33:00
65,241,1200,MDL,pending,Cash,TXN-5720148427,
66,472,600,MDL,refunded,Card,TXN-1331668867,
67,680,300,MDL,paid,Cash,TXN-9294071044,2026-09-06 12:57:00
68,784,1000,MDL,refunded,Cash,TXN-3797117060,
69,392,600,MDL,pending,MIA (Mobile Payment),TXN-7299429169,
70,560,500,MDL,refunded,MIA (Mobile Payment),TXN-8800094195,
71,929,600,MDL,paid,MIA (Mobile Payment),TXN-5323863633,2026-08-28 17:31:00
72,593,300,MDL,paid,MIA (Mobile Payment),TXN-9720777809,2026-09-12 09:05:00
73,184,400,MDL,paid,Card,TXN-7407736859,2026-09-06 15:57:00
74,152,400,MDL,paid,Cash,TXN-9896104322,2026-09-09 14:26:00
75,953,900,MDL,paid,Card,TXN-3306488173,2026-09-18 11:07:00
76,533,900,MDL,paid,Bank Transfer,TXN-6898189007,2026-08-10 18:34:00
77,587,800,MDL,paid,Cash,TXN-3557710362,2026-08-29 18:44:00
78,920,350,MDL,paid,Bank Transfer,TXN-6565172512,2026-09-04 10:45:00
79,760,700,MDL,paid,Cash,TXN-5910228906,2026-09-02 13:30:00
80,695,1200,MDL,failed,Card,TXN-3220760769,
81,608,1000,MDL,refunded,Bank Transfer,TXN-8460475369,
82,116,400,MDL,pending,Card,TXN-5487164424,
83,884,1200,MDL,paid,MIA (Mobile Payment),TXN-3086795093,2026-08-15 13:12:00
84,907,1200,MDL,paid,Bank Transfer,TXN-7316444037,2026-09-13 13:08:00
85,74,450,MDL,paid,Cash,TXN-4665115492,2026-08-13 09:17:00
86,264,1200,MDL,paid,Card,TXN-1153028014,2026-08-09 12:54:00
87,878,450,MDL,failed,Cash,TXN-2826824886,
88,917,1000,MDL,refunded,Card,TXN-8370744375,
89,821,600,MDL,refunded,Bank Transfer,TXN-5681305765,
90,388,900,MDL,paid,Cash,TXN-7771289308,2026-09-16 13:44:00
91,855,700,MDL,refunded,Bank Transfer,TXN-8205018567,
92,730,700,MDL,paid,Card,TXN-1300722345,2026-09-18 13:37:00
93,814,800,MDL,paid,Bank Transfer,TXN-9589339355,2026-09-18 18:48:00
94,239,800,MDL,paid,Card,TXN-7373222880,2026-09-14 09:42:00
95,767,300,MDL,failed,Cash,TXN-5885597839,
96,324,600,MDL,refunded,Cash,TXN-9391336785,
97,248,350,MDL,paid,Bank Transfer,TXN-1820703665,2026-08-13 12:04:00
98,626,900,MDL,paid,Bank Transfer,TXN-2995771690,2026-08-19 11:41:00
99,443,400,MDL,paid,MIA (Mobile Payment),TXN-3454107206,2026-08-16 12:41:00
100,944,450,MDL,refunded,Cash,TXN-2545731930,
101,639,300,MDL,paid,Bank Transfer,TXN-1063752771,2026-09-20 11:52:00
102,644,300,MDL,paid,Bank Transfer,TXN-6185472006,2026-09-05 11:39:00
103,895,800,MDL,paid,Card,TXN-7944482358,2026-09-14 15:54:00
104,788,800,MDL,refunded,MIA (Mobile Payment),TXN-1077790999,
105,135,450,MDL,paid,Bank Transfer,TXN-9923878244,2026-09-12 09:09:00
106,125,500,MDL,failed,Bank Transfer,TXN-9870381936,
107,394,800,MDL,refunded,Cash,TXN-3521969560,
108,863,600,MDL,paid,MIA (Mobile Payment),TXN-6555240919,2026-09-18 12:48:00
109,270,1200,MDL,paid,Bank Transfer,TXN-1846129796,2026-09-23 17:43:00
110,979,1200,MDL,paid,Cash,TXN-7852886112,2026-08-19 15:24:00
111,539,900,MDL,refunded,Card,TXN-4704740809,
112,256,350,MDL,paid,Card,TXN-2206816739,2026-08-15 08:11:00
113,13,1200,MDL,failed,Card,TXN-3652094571,
114,891,1200,MDL,paid,Cash,TXN-2427546251,2026-09-24 16:06:00
115,131,1000,MDL,paid,MIA (Mobile Payment),TXN-9915552342,2026-09-20 14:32:00
116,886,900,MDL,paid,Card,TXN-2561231827,2026-09-08 18:45:00
117,544,500,MDL,paid,Cash,TXN-5504744297,2026-09-28 12:13:00
118,160,400,MDL,paid,Card,TXN-9998515939,2026-08-23 15:41:00
119,790,1200,MDL,paid,Bank Transfer,TXN-1746040171,2026-08-08 16:25:00
120,56,600,MDL,refunded,MIA (Mobile Payment),TXN-7986897803,
121,900,1200,MDL,paid,Cash,TXN-8187430567,2026-08-30 17:15:00
122,722,450,MDL,paid,MIA (Mobile Payment),TXN-3036856891,2026-08-10 11:51:00
123,386,350,MDL,paid,MIA (Mobile Payment),TXN-7654459745,2026-09-19 17:46:00
124,728,350,MDL,paid,MIA (Mobile Payment),TXN-2793536384,2026-08-15 11:27:00
125,150,800,MDL,paid,Bank Transfer,TXN-9305307734,2026-08-21 15:56:00
126,203,350,MDL,paid,MIA (Mobile Payment),TXN-5547101032,2026-09-24 10:22:00
127,378,500,MDL,paid,MIA (Mobile Payment),TXN-7683722670,2026-08-28 10:59:00
128,564,600,MDL,pending,Card,TXN-4720668621,
129,902,350,MDL,paid,Cash,TXN-9611728134,2026-09-04 17:08:00
130,672,800,MDL,paid,MIA (Mobile Payment),TXN-9234367861,2026-08-09 19:35:00
131,569,1200,MDL,refunded,Cash,TXN-5778006484,
132,282,1200,MDL,paid,MIA (Mobile Payment),TXN-8312824990,2026-09-15 15:51:00
133,801,300,MDL,paid,Bank Transfer,TXN-8568690344,2026-09-13 17:53:00
134,753,450,MDL,pending,Cash,TXN-9146013310,
135,643,1200,MDL,paid,Bank Transfer,TXN-7891451473,2026-08-11 12:49:00
136,419,350,MDL,refunded,Cash,TXN-6669134300,
137,852,450,MDL,paid,Card,TXN-2683483115,2026-08-29 13:30:00
138,836,350,MDL,refunded,Card,TXN-8417657229,
139,856,500,MDL,failed,MIA (Mobile Payment),TXN-2024601258,
140,793,1000,MDL,paid,Cash,TXN-9117657637,2026-09-03 14:20:00
141,529,500,MDL,paid,MIA (Mobile Payment),TXN-9855353491,2026-09-02 09:25:00
142,838,900,MDL,paid,MIA (Mobile Payment),TXN-8207482622,2026-09-11 08:56:00
143,496,700,MDL,paid,Card,TXN-8790680444,2026-09-14 09:37:00
144,875,500,MDL,refunded,MIA (Mobile Payment),TXN-9401227090,
145,743,450,MDL,paid,Card,TXN-9874960451,2026-08-23 09:17:00
146,360,700,MDL,paid,Cash,TXN-6141332047,2026-09-08 19:47:00
147,881,600,MDL,paid,Bank Transfer,TXN-7468143735,2026-08-15 15:13:00
148,81,300,MDL,refunded,Bank Transfer,TXN-2349163638,
149,988,500,MDL,paid,Card,TXN-9273512615,2026-08-17 17:26:00
150,333,400,MDL,refunded,Bank Transfer,TXN-3504764443,
151,363,500,MDL,pending,Bank Transfer,TXN-3801193724,
152,199,350,MDL,pending,MIA (Mobile Payment),TXN-3748969070,
153,180,450,MDL,paid,MIA (Mobile Payment),TXN-8589362068,2026-09-28 11:16:00
154,809,900,MDL,pending,Cash,TXN-8583097027,
155,942,500,MDL,refunded,Card,TXN-6138829069,
156,228,400,MDL,paid,Card,TXN-3662741518,2026-09-03 18:58:00
157,603,1200,MDL,paid,Cash,TXN-7241268602,2026-09-08 18:37:00
158,318,300,MDL,paid,MIA (Mobile Payment),TXN-8232121348,2026-08-18 17:29:00
159,424,450,MDL,refunded,MIA (Mobile Payment),TXN-1930878247,
160,393,900,MDL,paid,Bank Transfer,TXN-9051057151,2026-09-04 18:45:00
161,665,800,MDL,paid,MIA (Mobile Payment),TXN-3187111129,2026-08-23 10:21:00
162,183,700,MDL,paid,MIA (Mobile Payment),TXN-2200048991,2026-09-26 18:07:00
163,960,300,MDL,paid,Bank Transfer,TXN-1130966404,2026-08-22 10:08:00
164,599,350,MDL,paid,MIA (Mobile Payment),TXN-9052170994,2026-08-28 16:42:00
165,103,1000,MDL,paid,Cash,TXN-1119799176,2026-09-18 16:49:00
166,705,1200,MDL,refunded,Bank Transfer,TXN-3155316893,
167,269,300,MDL,failed,Card,TXN-7031460976,
168,140,300,MDL,paid,MIA (Mobile Payment),TXN-8572644066,2026-08-23 08:06:00
169,90,300,MDL,paid,Card,TXN-6724324406,2026-08-24 18:28:00
170,574,1200,MDL,paid,Bank Transfer,TXN-7603049427,2026-08-29 10:40:00
171,924,600,MDL,paid,MIA (Mobile Payment),TXN-9040841743,2026-09-13 10:45:00
172,468,1200,MDL,paid,MIA (Mobile Payment),TXN-1441557092,2026-08-10 14:00:00
173,537,800,MDL,paid,Card,TXN-3518906807,2026-09-07 11:43:00
174,197,500,MDL,refunded,Card,TXN-8184543884,
175,295,450,MDL,paid,Bank Transfer,TXN-6221078720,2026-08-20 15:37:00
176,440,1200,MDL,refunded,Bank Transfer,TXN-4283872424,
177,880,700,MDL,paid,Card,TXN-2446645880,2026-08-18 18:07:00
178,226,500,MDL,paid,Card,TXN-9844531990,2026-09-07 15:26:00
179,173,1000,MDL,paid,Bank Transfer,TXN-5232357491,2026-08-26 13:38:00
180,796,800,MDL,refunded,Cash,TXN-4070652755,
181,802,800,MDL,refunded,Bank Transfer,TXN-2887009961,
182,26,450,MDL,failed,Bank Transfer,TXN-6582572043,
183,312,800,MDL,pending,Cash,TXN-4565755441,
184,803,1200,MDL,failed,Card,TXN-7528870454,
185,930,300,MDL,paid,MIA (Mobile Payment),TXN-7803817273,2026-08-26 16:08:00
186,46,700,MDL,paid,Bank Transfer,TXN-4960752236,2026-08-21 19:23:00
187,908,500,MDL,paid,Cash,TXN-1563738784,2026-08-15 12:28:00
188,516,400,MDL,paid,MIA (Mobile Payment),TXN-3006614601,2026-09-08 09:41:00
189,265,800,MDL,paid,MIA (Mobile Payment),TXN-1053378948,2026-08-17 18:52:00
190,893,450,MDL,paid,Bank Transfer,TXN-1619406342,2026-09-07 13:15:00
191,708,1200,MDL,paid,Cash,TXN-6578519506,2026-09-09 09:43:00
192,494,600,MDL,paid,MIA (Mobile Payment),TXN-6327198121,2026-08-23 19:38:00
193,925,800,MDL,paid,Card,TXN-5174256389,2026-08-28 17:36:00
194,9,350,MDL,refunded,MIA (Mobile Payment),TXN-2540184939,
195,61,400,MDL,paid,Cash,TXN-9587791344,2026-08-07 08:27:00
196,219,600,MDL,paid,Cash,TXN-8418495507,2026-09-01 15:48:00
197,65,700,MDL,paid,Card,TXN-9046220242,2026-09-20 15:44:00
198,407,350,MDL,paid,MIA (Mobile Payment),TXN-9572932372,2026-08-18 10:21:00
199,143,600,MDL,paid,Cash,TXN-3340545174,2026-09-09 14:47:00
200,112,900,MDL,failed,Cash,TXN-9526053113,
201,292,300,MDL,pending,Card,TXN-1217069564,
202,334,900,MDL,paid,Card,TXN-4882202407,2026-09-07 14:15:00
203,281,1200,MDL,refunded,Bank Transfer,TXN-1704482843,
204,670,300,MDL,paid,Bank Transfer,TXN-3712694333,2026-09-17 10:17:00
205,316,300,MDL,refunded,MIA (Mobile Payment),TXN-9180322838,
206,601,400,MDL,paid,Cash,TXN-3691500194,2026-08-18 11:21:00
207,565,400,MDL,paid,MIA (Mobile Payment),TXN-1565204403,2026-08-24 13:15:00
208,778,500,MDL,paid,MIA (Mobile Payment),TXN-8898448706,2026-09-11 15:30:00
209,105,1000,MDL,refunded,MIA (Mobile Payment),TXN-2530158953,
210,931,400,MDL,pending,Card,TXN-9186727335,
211,132,500,MDL,paid,Cash,TXN-2221870736,2026-09-14 08:34:00
212,808,400,MDL,paid,MIA (Mobile Payment),TXN-7354670839,2026-09-27 19:31:00
213,912,1200,MDL,paid,MIA (Mobile Payment),TXN-1384104883,2026-09-18 19:44:00
214,935,1200,MDL,paid,MIA (Mobile Payment),TXN-5814441490,2026-08-19 18:42:00
215,541,1000,MDL,refunded,Bank Transfer,TXN-6835537667,
216,779,700,MDL,paid,Card,TXN-8594903789,2026-09-02 17:20:00
217,179,600,MDL,paid,MIA (Mobile Payment),TXN-1954915397,2026-09-05 14:18:00
218,724,600,MDL,paid,Cash,TXN-2894626782,2026-08-17 15:09:00
219,354,400,MDL,paid,Bank Transfer,TXN-4923519789,2026-09-02 14:25:00
220,398,800,MDL,paid,Bank Transfer,TXN-1938185766,2026-09-14 12:32:00
221,874,700,MDL,failed,MIA (Mobile Payment),TXN-4217670369,
222,859,1000,MDL,paid,Cash,TXN-5739283415,2026-08-31 17:16:00
223,172,1000,MDL,paid,Card,TXN-7935801271,2026-08-18 11:32:00
224,255,1200,MDL,paid,MIA (Mobile Payment),TXN-9781869226,2026-08-15 13:04:00
225,746,800,MDL,paid,Card,TXN-9518403235,2026-09-20 15:17:00
226,974,600,MDL,paid,Cash,TXN-8915821154,2026-08-27 13:14:00
227,952,700,MDL,paid,Cash,TXN-7896418245,2026-08-28 14:40:00
228,782,1200,MDL,refunded,Card,TXN-2692968144,
229,711,600,MDL,paid,Cash,TXN-3942547432,2026-09-11 15:46:00
230,62,1200,MDL,paid,Cash,TXN-9706518432,2026-09-14 11:37:00
231,770,400,MDL,refunded,MIA (Mobile Payment),TXN-5077991337,
232,164,1200,MDL,paid,Cash,TXN-1872419614,2026-08-10 17:24:00
233,457,400,MDL,paid,Bank Transfer,TXN-4045346384,2026-08-25 11:42:00
234,452,450,MDL,paid,Cash,TXN-3265798436,2026-09-13 14:55:00
235,471,800,MDL,paid,Card,TXN-8938425583,2026-08-10 14:27:00
236,887,700,MDL,paid,Bank Transfer,TXN-1726493954,2026-09-18 17:01:00
237,406,400,MDL,refunded,MIA (Mobile Payment),TXN-9863544046,
238,83,1000,MDL,paid,Bank Transfer,TXN-9986345384,2026-08-30 12:03:00
239,622,900,MDL,refunded,MIA (Mobile Payment),TXN-3820003556,
240,343,400,MDL,paid,Cash,TXN-6205015240,2026-08-19 14:26:00
241,697,450,MDL,paid,Bank Transfer,TXN-5509605867,2026-09-01 12:49:00
242,718,800,MDL,paid,Card,TXN-5171952754,2026-08-29 17:19:00
243,449,1000,MDL,paid,Cash,TXN-8991026591,2026-09-06 16:15:00
244,161,300,MDL,paid,MIA (Mobile Payment),TXN-1257685129,2026-09-10 17:52:00
245,879,350,MDL,paid,Cash,TXN-1659976749,2026-08-20 17:46:00
246,55,800,MDL,paid,Cash,TXN-6611156168,2026-09-21 16:31:00
247,278,700,MDL,pending,MIA (Mobile Payment),TXN-7216477356,
248,872,400,MDL,paid,Card,TXN-9190132581,2026-08-14 18:30:00
249,345,700,MDL,paid,Cash,TXN-2588206990,2026-08-26 16:27:00
250,126,300,MDL,paid,Bank Transfer,TXN-7609182834,2026-08-30 18:56:00
251,567,500,MDL,refunded,MIA (Mobile Payment),TXN-8034368296,
252,464,300,MDL,failed,Card,TXN-3512956567,
253,102,800,MDL,failed,Bank Transfer,TXN-9363269229,
254,411,450,MDL,paid,Bank Transfer,TXN-1097116028,2026-09-03 16:13:00
255,640,1200,MDL,paid,Card,TXN-7278899865,2026-09-06 10:17:00
256,75,1200,MDL,refunded,Cash,TXN-8756741702,
257,883,1200,MDL,pending,Cash,TXN-2836674287,
258,403,500,MDL,paid,MIA (Mobile Payment),TXN-4880305746,2026-08-14 09:27:00
259,915,450,MDL,paid,Bank Transfer,TXN-3539991293,2026-09-14 11:49:00
260,899,800,MDL,paid,Card,TXN-3322635761,2026-08-30 15:05:00
261,629,350,MDL,paid,Cash,TXN-1347987276,2026-09-11 12:06:00
262,973,1000,MDL,refunded,MIA (Mobile Payment),TXN-4664498183,
263,559,300,MDL,refunded,Card,TXN-1027328748,
264,154,350,MDL,paid,MIA (Mobile Payment),TXN-6139582114,2026-09-09 16:32:00
265,352,400,MDL,paid,Bank Transfer,TXN-5230070448,2026-09-05 11:25:00
266,549,1200,MDL,failed,Cash,TXN-3542096339,
267,972,350,MDL,paid,MIA (Mobile Payment),TXN-3110196225,2026-08-14 12:57:00
268,187,700,MDL,paid,Cash,TXN-9241366013,2026-08-30 17:50:00
269,432,350,MDL,paid,MIA (Mobile Payment),TXN-1700989690,2026-09-16 12:36:00
270,63,450,MDL,paid,Card,TXN-9808574102,2026-08-28 16:52:00
271,76,700,MDL,paid,Bank Transfer,TXN-6283359439,2026-08-16 10:27:00
272,963,600,MDL,paid,Cash,TXN-2196345227,2026-09-19 14:48:00
273,115,900,MDL,paid,MIA (Mobile Payment),TXN-6992529876,2026-08-28 10:08:00
274,32,600,MDL,paid,MIA (Mobile Payment),TXN-6910891957,2026-08-24 11:03:00
275,785,1000,MDL,refunded,MIA (Mobile Payment),TXN-2366806709,
276,41,600,MDL,paid,Cash,TXN-6698432347,2026-08-31 18:56:00
277,987,800,MDL,refunded,Bank Transfer,TXN-6735948172,
278,642,500,MDL,paid,Cash,TXN-9972768927,2026-09-08 18:55:00
279,938,700,MDL,paid,Cash,TXN-3566809897,2026-09-11 19:42:00
280,694,450,MDL,paid,Card,TXN-9135865649,2026-09-15 18:43:00
281,635,1200,MDL,paid,MIA (Mobile Payment),TXN-8049245506,2026-09-04 14:21:00
282,681,700,MDL,paid,Card,TXN-4895249439,2026-09-11 17:36:00
283,940,700,MDL,paid,Card,TXN-7224425366,2026-08-27 13:25:00
284,982,450,MDL,paid,Cash,TXN-9052244778,2026-09-08 16:09:00
285,221,300,MDL,paid,Card,TXN-2111682865,2026-08-03 10:32:00
286,921,450,MDL,paid,Bank Transfer,TXN-9816361762,2026-08-28 17:56:00
287,582,500,MDL,refunded,Cash,TXN-8727602381,
288,776,400,MDL,paid,Bank Transfer,TXN-8124223581,2026-08-22 16:35:00
289,238,700,MDL,paid,Card,TXN-8412255237,2026-09-15 09:57:00
290,999,600,MDL,paid,Bank Transfer,TXN-8413350944,2026-08-22 09:03:00
291,466,1200,MDL,paid,Cash,TXN-4722795105,2026-08-28 09:28:00
292,279,1200,MDL,paid,Card,TXN-2999240598,2026-08-29 13:51:00
293,499,700,MDL,paid,Cash,TXN-5179039754,2026-09-18 15:50:00
294,33,700,MDL,pending,Card,TXN-4327801275,
295,956,700,MDL,paid,Card,TXN-3197520272,2026-09-18 09:39:00
296,262,500,MDL,paid,MIA (Mobile Payment),TXN-3755857762,2026-08-15 14:40:00
297,826,350,MDL,paid,Cash,TXN-8998309383,2026-09-16 15:02:00
298,910,900,MDL,paid,Cash,TXN-2669517038,2026-09-24 18:45:00
299,748,450,MDL,paid,MIA (Mobile Payment),TXN-9712177416,2026-08-20 09:12:00
300,118,300,MDL,paid,Bank Transfer,TXN-3178753245,2026-08-07 10:15:00
301,578,400,MDL,paid,Card,TXN-2172736231,2026-08-25 16:29:00
302,405,900,MDL,refunded,Bank Transfer,TXN-5171086622,
303,727,1000,MDL,failed,Bank Transfer,TXN-1002942240,
304,456,1200,MDL,refunded,MIA (Mobile Payment),TXN-5667795970,
305,828,900,MDL,paid,MIA (Mobile Payment),TXN-5196585207,2026-09-14 10:18:00
306,735,600,MDL,paid,Card,TXN-8521654480,2026-08-21 15:37:00
307,858,450,MDL,failed,Bank Transfer,TXN-1656827009,
308,781,800,MDL,paid,Bank Transfer,TXN-4357637046,2026-09-05 10:19:00
309,57,800,MDL,paid,Card,TXN-6264547465,2026-09-19 11:22:00
310,441,700,MDL,paid,Card,TXN-3816457172,2026-09-10 11:36:00
311,310,900,MDL,paid,Cash,TXN-7090274356,2026-08-27 14:29:00
312,709,800,MDL,paid,Cash,TXN-5310481964,2026-09-05 16:05:00
313,577,500,MDL,paid,Card,TXN-8499992229,2026-09-01 14:22:00
314,994,700,MDL,paid,Card,TXN-8096223409,2026-08-07 17:41:00
315,156,900,MDL,refunded,MIA (Mobile Payment),TXN-1750686936,
316,860,600,MDL,paid,Card,TXN-3423361395,2026-09-29 19:55:00
317,961,450,MDL,paid,Card,TXN-9366680147,2026-09-18 16:16:00
318,47,500,MDL,paid,MIA (Mobile Payment),TXN-3471824193,2026-08-29 18:59:00
319,29,900,MDL,paid,MIA (Mobile Payment),TXN-6407341934,2026-08-06 10:56:00
320,79,400,MDL,paid,Bank Transfer,TXN-4604356969,2026-08-26 09:08:00
321,450,700,MDL,paid,Card,TXN-8413345005,2026-09-25 09:40:00
322,78,350,MDL,paid,Card,TXN-7720093245,2026-09-16 15:42:00
323,332,350,MDL,refunded,MIA (Mobile Payment),TXN-4884663875,
324,283,1200,MDL,refunded,Cash,TXN-4775260943,
325,430,1000,MDL,paid,Card,TXN-6410395460,2026-08-30 15:32:00
326,967,300,MDL,paid,Cash,TXN-8676719211,2026-09-09 13:40:00
327,738,900,MDL,paid,Card,TXN-6353765874,2026-08-22 13:53:00
328,756,700,MDL,paid,Cash,TXN-1614382913,2026-08-26 15:36:00
329,60,350,MDL,refunded,Bank Transfer,TXN-8223149727,
330,346,800,MDL,paid,Card,TXN-2138594800,2026-09-25 10:21:00
331,271,600,MDL,paid,Bank Transfer,TXN-4319786418,2026-08-05 16:16:00
332,337,350,MDL,paid,Cash,TXN-1608148365,2026-08-19 11:19:00
333,576,700,MDL,pending,MIA (Mobile Payment),TXN-3718830228,
334,981,450,MDL,paid,Card,TXN-6632122800,2026-09-16 12:03:00
335,288,900,MDL,paid,Bank Transfer,TXN-8018734020,2026-08-11 17:01:00
336,789,700,MDL,paid,Bank Transfer,TXN-2103398999,2026-09-18 15:05:00
337,955,1000,MDL,paid,Card,TXN-1205426361,2026-08-07 10:49:00
338,873,800,MDL,paid,Cash,TXN-4853013841,2026-08-25 14:55:00
339,997,450,MDL,paid,Card,TXN-7499215071,2026-09-14 17:49:00
340,414,600,MDL,refunded,MIA (Mobile Payment),TXN-9219599978,
341,469,400,MDL,refunded,Cash,TXN-9428849444,
342,89,600,MDL,paid,Card,TXN-4543778891,2026-08-22 11:28:00
343,111,300,MDL,refunded,Cash,TXN-9473375854,
344,478,450,MDL,refunded,Bank Transfer,TXN-6811709534,
345,236,1200,MDL,paid,Card,TXN-9227915607,2026-09-13 15:49:00
346,107,900,MDL,paid,Cash,TXN-6083069156,2026-09-26 17:47:00
347,251,300,MDL,paid,MIA (Mobile Payment),TXN-3011695980,2026-08-24 13:16:00
348,518,1000,MDL,paid,Card,TXN-9039497012,2026-08-12 17:20:00
349,465,350,MDL,failed,Card,TXN-9889760903,
350,820,900,MDL,paid,Card,TXN-9888409634,2026-09-15 18:46:00
351,853,1200,MDL,paid,Card,TXN-1199971418,2026-09-02 09:23:00
352,373,700,MDL,paid,Card,TXN-2780651557,2026-08-19 10:21:00
353,151,300,MDL,pending,Bank Transfer,TXN-3828383478,
354,495,1000,MDL,paid,Card,TXN-5569898897,2026-09-03 09:20:00
355,447,1200,MDL,paid,Bank Transfer,TXN-1711908584,2026-08-18 09:01:00
356,650,450,MDL,paid,Bank Transfer,TXN-7463941856,2026-09-14 15:05:00
357,240,400,MDL,paid,Card,TXN-5005689194,2026-08-25 14:13:00
358,425,600,MDL,paid,Bank Transfer,TXN-6246635032,2026-08-25 12:04:00
359,305,800,MDL,paid,Bank Transfer,TXN-5897479110,2026-09-17 10:21:00
360,410,1000,MDL,paid,MIA (Mobile Payment),TXN-5309368989,2026-08-19 09:59:00
