id,user_id,type,title,body,is_read,created_at
76,2057,review_request,Share your feedback,Please leave a review about your recent consultation.,1,2026-08-26 19:00:00
77,2345,doctor_reply,Doctor replied,Your doctor has replied to your message.,1,2026-07-22 17:00:00
78,2198,appointment_cancelled,Appointment cancelled,Your appointment has been cancelled. Please reschedule if needed.,1,2026-08-04 02:00:00
79,2330,appointment_reminder,Upcoming appointment reminder,Your appointment is scheduled soon. Please don't forget to attend.,1,2026-07-16 15:00:00
80,2017,review_request,Share your feedback,Please leave a review about your recent consultation.,1,2026-08-06 10:00:00
81,2319,appointment_reminder,Upcoming appointment reminder,Your appointment is scheduled soon. Please don't forget to attend.,1,2026-07-23 02:00:00
82,2208,doctor_reply,Doctor replied,Your doctor has replied to your message.,1,2026-08-11 15:00:00
83,2103,review_request,Share your feedback,Please leave a review about your recent consultation.,1,2026-07-20 14:00:00
84,1013,review_request,Share your feedback,Please leave a review about your recent consultation.,1,2026-08-03 08:00:00
85,2398,appointment_confirmed,Appointment confirmed,Your appointment has been confirmed by the clinic.,0,2026-08-12 18:00:00
86,1030,doctor_reply,Doctor replied,Your doctor has replied to your message.,1,2026-08-16 07:00:00
87,2018,appointment_cancelled,Appointment cancelled,Your appointment has been cancelled. Please reschedule if needed.,0,2026-08-15 06:00:00
88,2249,review_request,Share your feedback,Please leave a review about your recent consultation.,0,2026-08-09 18:00:00
89,1009,appointment_reminder,Upcoming appointment reminder,Your appointment is scheduled soon. Please don't forget to attend.,0,2026-07-19 21:00:00
90,2244,payment_received,Payment received,We have received your payment. Thank you.,1,2026-07-06 17:00:00
91,2134,review_request,Share your feedback,Please leave a review about your recent consultation.,1,2026-07-16 05:00:00
92,2241,appointment_reminder,Upcoming appointment reminder,Your appointment is scheduled soon. Please don't forget to attend.,1,2026-07-09 03:00:00
93,2347,new_message,New message received,You have a new message in your consultation chat.,1,2026-07-09 08:00:00
94,2207,system,System notification,There has been an update to your account or app settings.,0,2026-08-17 05:00:00
95,2146,payment_received,Payment received,We have received your payment. Thank you.,1,2026-07-22 14:00:00
96,2135,doctor_reply,Doctor replied,Your doctor has replied to your message.,0,2026-07-07 06:00:00
97,2050,system,System notification,There has been an update to your account or app settings.,0,2026-07-16 18:00:00
98,1030,system,System notification,There has been an update to your account or app settings.,1,2026-08-03 08:00:00
99,2396,appointment_cancelled,Appointment cancelled,Your appointment has been cancelled. Please reschedule if needed.,0,2026-07-12 12:00:00
100,2141,payment_received,Payment received,We have received your payment. Thank you.,1,2026-08-09 00:00:00
101,2315,review_request,Share your feedback,Please leave a review about your recent consultation.,0,2026-08-01 01:00:00
102,2025,doctor_reply,Doctor replied,Your doctor has replied to your message.,0,2026-08-28 23:00:00
103,2328,appointment_confirmed,Appointment confirmed,Your appointment has been confirmed by the clinic.,1,2026-07-07 23:00:00
104,2114,system,System notification,There has been an update to your account or app settings.,1,2026-07-03 02:00:00
105,2287,appointment_confirmed,Appointment confirmed,Your appointment has been confirmed by the clinic.,1,2026-07-05 17:00:00
106,2229,payment_received,Payment received,We have received your payment. Thank you.,1,2026-08-11 17:00:00
107,2177,review_request,Share your feedback,Please leave a review about your recent consultation.,0,2026-08-24 19:00:00
108,2323,review_request,Share your feedback,Please leave a review about your recent consultation.,1,2026-07-30 12:00:00
109,2157,appointment_cancelled,Appointment cancelled,Your appointment has been cancelled. Please reschedule if needed.,0,2026-07-10 16:00:00
110,2267,appointment_cancelled,Appointment cancelled,Your appointment has been cancelled. Please reschedule if needed.,1,2026-07-26 03:00:00
111,2342,new_message,New message received,You have a new message in your consultation chat.,0,2026-08-07 06:00:00
112,2104,system,System notification,There has been an update to your account or app settings.,0,2026-07-06 06:00:00
113,2224,payment_received,Payment received,We have received your payment. Thank you.,1,2026-08-14 15:00:00
114,2076,new_message,New message received,You have a new message in your consultation chat.,1,2026-07-21 09:00:00
115,2361,review_request,Share your feedback,Please leave a review about your recent consultation.,0,2026-08-12 21:00:00
116,2072,system,System notification,There has been an update to your account or app settings.,1,2026-08-29 04:00:00
117,2343,appointment_confirmed,Appointment confirmed,Your appointment has been confirmed by the clinic.,1,2026-08-16 20:00:00
118,2298,appointment_reminder,Upcoming appointment reminder,Your appointment is scheduled soon. Please don't forget to attend.,1,2026-08-12 19:00:00
119,1033,appointment_confirmed,Appointment confirmed,Your appointment has been confirmed by the clinic.,1,2026-07-26 18:00:00
120,2246,doctor_reply,Doctor replied,Your doctor has replied to your message.,1,2026-07-09 14:00:00
121,2150,appointment_reminder,Upcoming appointment reminder,Your appointment is scheduled soon. Please don't forget to attend.,1,2026-07-04 22:00:00
122,2029,appointment_reminder,Upcoming appointment reminder,Your appointment is scheduled soon. Please don't forget to attend.,1,2026-08-08 10:00:00
123,2076,system,System notification,There has been an update to your account or app settings.,0,2026-08-08 09:00:00
124,2016,payment_received,Payment received,We have received your payment. Thank you.,0,2026-07-14 22:00:00
125,2277,doctor_reply,Doctor replied,Your doctor has replied to your message.,0,2026-08-02 14:00:00
126,2254,appointment_confirmed,Appointment confirmed,Your appointment has been confirmed by the clinic.,1,2026-07-21 15:00:00
127,2182,system,System notification,There has been an update to your account or app settings.,0,2026-07-15 15:00:00
128,1020,system,System notification,There has been an update to your account or app settings.,1,2026-07-22 18:00:00
129,2165,new_message,New message received,You have a new message in your consultation chat.,1,2026-07-04 14:00:00
130,2305,appointment_reminder,Upcoming appointment reminder,Your appointment is scheduled soon. Please don't forget to attend.,0,2026-07-20 00:00:00
131,2028,system,System notification,There has been an update to your account or app settings.,1,2026-08-05 23:00:00
132,2258,appointment_reminder,Upcoming appointment reminder,Your appointment is scheduled soon. Please don't forget to attend.,0,2026-07-29 13:00:00
133,1029,review_request,Share your feedback,Please leave a review about your recent consultation.,1,2026-08-23 20:00:00
134,2392,doctor_reply,Doctor replied,Your doctor has replied to your message.,1,2026-07-06 21:00:00
135,1024,system,System notification,There has been an update to your account or app settings.,0,2026-07-11 20:00:00
136,2078,review_request,Share your feedback,Please leave a review about your recent consultation.,0,2026-07-24 00:00:00
137,2285,system,System notification,There has been an update to your account or app settings.,1,2026-08-09 03:00:00
138,2047,appointment_confirmed,Appointment confirmed,Your appointment has been confirmed by the clinic.,1,2026-08-17 12:00:00
139,2262,appointment_cancelled,Appointment cancelled,Your appointment has been cancelled. Please reschedule if needed.,0,2026-08-12 20:00:00
140,2200,doctor_reply,Doctor replied,Your doctor has replied to your message.,0,2026-08-12 11:00:00
141,1004,appointment_confirmed,Appointment confirmed,Your appointment has been confirmed by the clinic.,0,2026-08-15 10:00:00
142,2309,payment_received,Payment received,We have received your payment. Thank you.,1,2026-07-20 18:00:00
143,2177,doctor_reply,Doctor replied,Your doctor has replied to your message.,1,2026-08-30 06:00:00
144,1027,system,System notification,There has been an update to your account or app settings.,0,2026-07-09 16:00:00
145,1018,new_message,New message received,You have a new message in your consultation chat.,1,2026-08-31 14:00:00
146,2300,appointment_confirmed,Appointment confirmed,Your appointment has been confirmed by the clinic.,1,2026-07-17 20:00:00
147,2105,review_request,Share your feedback,Please leave a review about your recent consultation.,0,2026-07-12 23:00:00
148,2201,appointment_reminder,Upcoming appointment reminder,Your appointment is scheduled soon. Please don't forget to attend.,1,2026-08-09 03:00:00
149,2257,appointment_cancelled,Appointment cancelled,Your appointment has been cancelled. Please reschedule if needed.,0,2026-08-06 05:00:00
150,2336,payment_received,Payment received,We have received your payment. Thank you.,0,2026-08-28 07:00:00
151,2060,appointment_confirmed,Appointment confirmed,Your appointment has been confirmed by the clinic.,0,2026-07-04 04:00:00
152,2007,system,System notification,There has been an update to your account or app settings.,0,2026-08-05 03:00:00
153,2341,system,System notification,There has been an update to your account or app settings.,1,2026-08-17 07:00:00
154,2193,review_request,Share your feedback,Please leave a review about your recent consultation.,1,2026-07-08 02:00:00
155,2378,appointment_reminder,Upcoming appointment reminder,Your appointment is scheduled soon. Please don't forget to attend.,1,2026-08-27 02:00:00
156,2246,appointment_reminder,Upcoming appointment reminder,Your appointment is scheduled soon. Please don't forget to attend.,1,2026-08-05 20:00:00
157,2359,review_request,Share your feedback,Please leave a review about your recent consultation.,0,2026-08-04 04:00:00
158,2310,system,System notification,There has been an update to your account or app settings.,1,2026-08-15 12:00:00
159,2169,doctor_reply,Doctor replied,Your doctor has replied to your message.,1,2026-08-01 07:00:00
160,2335,new_message,New message received,You have a new message in your consultation chat.,1,2026-07-16 07:00:00
161,1009,appointment_confirmed,Appointment confirmed,Your appointment has been confirmed by the clinic.,1,2026-07-27 07:00:00
162,2149,appointment_cancelled,Appointment cancelled,Your appointment has been cancelled. Please reschedule if needed.,0,2026-07-15 20:00:00
163,2253,appointment_confirmed,Appointment confirmed,Your appointment has been confirmed by the clinic.,1,2026-07-10 02:00:00
164,2160,appointment_cancelled,Appointment cancelled,Your appointment has been cancelled. Please reschedule if needed.,1,2026-07-03 03:00:00
165,2204,doctor_reply,Doctor replied,Your doctor has replied to your message.,1,2026-07-25 23:00:00
166,2118,new_message,New message received,You have a new message in your consultation chat.,1,2026-08-05 17:00:00
167,2270,system,System notification,There has been an update to your account or app settings.,0,2026-08-11 03:00:00
168,2078,review_request,Share your feedback,Please leave a review about your recent consultation.,1,2026-07-05 18:00:00
169,2055,review_request,Share your feedback,Please leave a review about your recent consultation.,1,2026-08-13 07:00:00
170,2368,doctor_reply,Doctor replied,Your doctor has replied to your message.,1,2026-07-13 12:00:00
171,2327,appointment_cancelled,Appointment cancelled,Your appointment has been cancelled. Please reschedule if needed.,1,2026-07-31 05:00:00
172,2324,appointment_cancelled,Appointment cancelled,Your appointment has been cancelled. Please reschedule if needed.,1,2026-08-31 22:00:00
173,2319,appointment_confirmed,Appointment confirmed,Your appointment has been confirmed by the clinic.,0,2026-08-31 04:00:00
174,2373,system,System notification,There has been an update to your account or app settings.,1,2026-07-05 03:00:00
175,2391,system,System notification,There has been an update to your account or app settings.,0,2026-08-06 00:00:00
176,2394,review_request,Share your feedback,Please leave a review about your recent consultation.,1,2026-07-24 07:00:00
177,2101,payment_received,Payment received,We have received your payment. Thank you.,0,2026-08-04 11:00:00
178,2257,appointment_confirmed,Appointment confirmed,Your appointment has been confirmed by the clinic.,1,2026-08-18 22:00:00
179,2353,doctor_reply,Doctor replied,Your doctor has replied to your message.,1,2026-08-14 16:00:00
180,2153,payment_received,Payment received,We have received your payment. Thank you.,1,2026-07-13 15:00:00
181,2039,new_message,New message received,You have a new message in your consultation chat.,1,2026-08-30 21:00:00
182,2132,system,System notification,There has been an update to your account or app settings.,0,2026-07-09 02:00:00
183,2196,new_message,New message received,You have a new message in your consultation chat.,1,2026-08-01 17:00:00
184,2051,appointment_confirmed,Appointment confirmed,Your appointment has been confirmed by the clinic.,0,2026-07-30 05:00:00
185,1022,doctor_reply,Doctor replied,Your doctor has replied to your message.,1,2026-07-30 13:00:00
186,2224,new_message,New message received,You have a new message in your consultation chat.,0,2026-08-14 04:00:00
187,2295,payment_received,Payment received,We have received your payment. Thank you.,1,2026-08-28 14:00:00
188,2119,appointment_reminder,Upcoming appointment reminder,Your appointment is scheduled soon. Please don't forget to attend.,1,2026-08-27 15:00:00
189,2010,appointment_confirmed,Appointment confirmed,Your appointment has been confirmed by the clinic.,1,2026-07-13 06:00:00
190,2237,payment_received,Payment received,We have received your payment. Thank you.,0,2026-07-30 00:00:00
191,2096,payment_received,Payment received,We have received your payment. Thank you.,1,2026-08-12 17:00:00
192,2341,doctor_reply,Doctor replied,Your doctor has replied to your message.,1,2026-07-11 00:00:00
193,2130,appointment_reminder,Upcoming appointment reminder,Your appointment is scheduled soon. Please don't forget to attend.,1,2026-08-25 21:00:00
194,2218,doctor_reply,Doctor replied,Your doctor has replied to your message.,0,2026-07-26 21:00:00
195,1018,review_request,Share your feedback,Please leave a review about your recent consultation.,1,2026-07-14 20:00:00
196,2176,new_message,New message received,You have a new message in your consultation chat.,0,2026-08-23 19:00:00
197,2360,appointment_reminder,Upcoming appointment reminder,Your appointment is scheduled soon. Please don't forget to attend.,1,2026-08-16 14:00:00
198,2231,new_message,New message received,You have a new message in your consultation chat.,1,2026-08-06 17:00:00
199,2122,new_message,New message received,You have a new message in your consultation chat.,1,2026-08-15 19:00:00
200,2157,review_request,Share your feedback,Please leave a review about your recent consultation.,0,2026-08-12 22:00:00
201,2115,appointment_reminder,Upcoming appointment reminder,Your appointment is scheduled soon. Please don't forget to attend.,0,2026-07-29 22:00:00
202,2385,system,System notification,There has been an update to your account or app settings.,0,2026-08-29 18:00:00
203,2310,system,System notification,There has been an update to your account or app settings.,0,2026-08-10 11:00:00
204,2246,new_message,New message received,You have a new message in your consultation chat.,1,2026-08-12 04:00:00
205,1034,doctor_reply,Doctor replied,Your doctor has replied to your message.,0,2026-08-23 07:00:00
206,2127,review_request,Share your feedback,Please leave a review about your recent consultation.,1,2026-07-12 01:00:00
207,2235,appointment_reminder,Upcoming appointment reminder,Your appointment is scheduled soon. Please don't forget to attend.,0,2026-07-05 19:00:00
208,2399,doctor_reply,Doctor replied,Your doctor has replied to your message.,0,2026-07-03 01:00:00
209,2340,appointment_confirmed,Appointment confirmed,Your appointment has been confirmed by the clinic.,1,2026-07-30 03:00:00
210,2144,new_message,New message received,You have a new message in your consultation chat.,0,2026-08-02 16:00:00
211,2081,new_message,New message received,You have a new message in your consultation chat.,1,2026-08-15 13:00:00
212,2088,doctor_reply,Doctor replied,Your doctor has replied to your message.,0,2026-08-08 23:00:00
213,2022,doctor_reply,Doctor replied,Your doctor has replied to your message.,1,2026-07-08 12:00:00
214,2337,new_message,New message received,You have a new message in your consultation chat.,0,2026-08-02 15:00:00
215,2387,system,System notification,There has been an update to your account or app settings.,1,2026-07-16 11:00:00
216,2261,new_message,New message received,You have a new message in your consultation chat.,0,2026-07-25 06:00:00
217,1030,appointment_confirmed,Appointment confirmed,Your appointment has been confirmed by the clinic.,1,2026-07-06 22:00:00
218,2060,appointment_reminder,Upcoming appointment reminder,Your appointment is scheduled soon. Please don't forget to attend.,1,2026-07-13 18:00:00
219,2153,review_request,Share your feedback,Please leave a review about your recent consultation.,0,2026-07-05 17:00:00
220,2395,new_message,New message received,You have a new message in your consultation chat.,1,2026-08-31 07:00:00
221,2364,appointment_reminder,Upcoming appointment reminder,Your appointment is scheduled soon. Please don't forget to attend.,1,2026-07-19 07:00:00
222,2377,appointment_cancelled,Appointment cancelled,Your appointment has been cancelled. Please reschedule if needed.,1,2026-07-28 20:00:00
223,2258,doctor_reply,Doctor replied,Your doctor has replied to your message.,1,2026-07-20 17:00:00
224,2250,review_request,Share your feedback,Please leave a review about your recent consultation.,1,2026-08-30 03:00:00
225,1024,doctor_reply,Doctor replied,Your doctor has replied to your message.,1,2026-07-29 10:00:00
226,2203,review_request,Share your feedback,Please leave a review about your recent consultation.,0,2026-07-15 10:00:00
227,2063,appointment_cancelled,Appointment cancelled,Your appointment has been cancelled. Please reschedule if needed.,1,2026-07-23 11:00:00
228,2281,payment_received,Payment received,We have received your payment. Thank you.,1,2026-08-26 18:00:00
229,2157,appointment_cancelled,Appointment cancelled,Your appointment has been cancelled. Please reschedule if needed.,0,2026-07-11 08:00:00
230,2299,payment_received,Payment received,We have received your payment. Thank you.,1,2026-08-08 14:00:00
231,2039,appointment_reminder,Upcoming appointment reminder,Your appointment is scheduled soon. Please don't forget to attend.,1,2026-08-01 06:00:00
232,2151,review_request,Share your feedback,Please leave a review about your recent consultation.,1,2026-07-02 02:00:00
233,2149,review_request,Share your feedback,Please leave a review about your recent consultation.,0,2026-08-29 04:00:00
234,2252,new_message,New message received,You have a new message in your consultation chat.,1,2026-08-09 12:00:00
235,2202,appointment_cancelled,Appointment cancelled,Your appointment has been cancelled. Please reschedule if needed.,1,2026-07-29 13:00:00
236,2054,payment_received,Payment received,We have received your payment. Thank you.,1,2026-08-08 23:00:00
237,2142,new_message,New message received,You have a new message in your consultation chat.,1,2026-08-13 15:00:00
238,2056,appointment_cancelled,Appointment cancelled,Your appointment has been cancelled. Please reschedule if needed.,1,2026-07-04 05:00:00
239,2258,doctor_reply,Doctor replied,Your doctor has replied to your message.,0,2026-07-17 18:00:00
240,2317,review_request,Share your feedback,Please leave a review about your recent consultation.,1,2026-08-20 18:00:00
241,2344,doctor_reply,Doctor replied,Your doctor has replied to your message.,1,2026-07-04 16:00:00
242,1003,payment_received,Payment received,We have received your payment. Thank you.,1,2026-08-05 16:00:00
243,2021,appointment_cancelled,Appointment cancelled,Your appointment has been cancelled. Please reschedule if needed.,1,2026-08-14 00:00:00
244,2199,appointment_reminder,Upcoming appointment reminder,Your appointment is scheduled soon. Please don't forget to attend.,1,2026-08-19 02:00:00
245,1036,doctor_reply,Doctor replied,Your doctor has replied to your message.,0,2026-07-24 18:00:00
246,2170,doctor_reply,Doctor replied,Your doctor has replied to your message.,1,2026-08-16 22:00:00
247,1029,payment_received,Payment received,We have received your payment. Thank you.,1,2026-08-30 12:00:00
248,2258,payment_received,Payment received,We have received your payment. Thank you.,1,2026-08-21 15:00:00
249,2234,system,System notification,There has been an update to your account or app settings.,1,2026-07-05 22:00:00
250,2227,appointment_confirmed,Appointment confirmed,Your appointment has been confirmed by the clinic.,1,2026-08-15 00:00:00
251,2177,system,System notification,There has been an update to your account or app settings.,1,2026-07-19 17:00:00
252,2305,system,System notification,There has been an update to your account or app settings.,0,2026-07-11 08:00:00
253,2290,doctor_reply,Doctor replied,Your doctor has replied to your message.,0,2026-08-23 17:00:00
254,2330,appointment_confirmed,Appointment confirmed,Your appointment has been confirmed by the clinic.,0,2026-07-20 11:00:00
255,2298,doctor_reply,Doctor replied,Your doctor has replied to your message.,1,2026-08-15 05:00:00
256,2395,review_request,Share your feedback,Please leave a review about your recent consultation.,1,2026-08-14 11:00:00
257,2314,review_request,Share your feedback,Please leave a review about your recent consultation.,1,2026-07-18 20:00:00
258,2290,appointment_cancelled,Appointment cancelled,Your appointment has been cancelled. Please reschedule if needed.,0,2026-07-27 23:00:00
259,2244,appointment_confirmed,Appointment confirmed,Your appointment has been confirmed by the clinic.,0,2026-07-06 16:00:00
260,2182,review_request,Share your feedback,Please leave a review about your recent consultation.,0,2026-08-02 00:00:00
261,2293,new_message,New message received,You have a new message in your consultation chat.,1,2026-08-06 15:00:00
262,2056,appointment_reminder,Upcoming appointment reminder,Your appointment is scheduled soon. Please don't forget to attend.,1,2026-07-15 08:00:00
263,2319,appointment_reminder,Upcoming appointment reminder,Your appointment is scheduled soon. Please don't forget to attend.,1,2026-08-19 13:00:00
264,2322,doctor_reply,Doctor replied,Your doctor has replied to your message.,0,2026-08-20 19:00:00
265,2063,review_request,Share your feedback,Please leave a review about your recent consultation.,1,2026-07-10 16:00:00
266,2160,appointment_reminder,Upcoming appointment reminder,Your appointment is scheduled soon. Please don't forget to attend.,1,2026-07-11 10:00:00
267,2331,new_message,New message received,You have a new message in your consultation chat.,1,2026-08-07 10:00:00
268,2011,review_request,Share your feedback,Please leave a review about your recent consultation.,0,2026-08-27 09:00:00
269,2189,new_message,New message received,You have a new message in your consultation chat.,1,2026-07-04 19:00:00
270,2119,system,System notification,There has been an update to your account or app settings.,1,2026-07-23 16:00:00
271,2122,appointment_cancelled,Appointment cancelled,Your appointment has been cancelled. Please reschedule if needed.,0,2026-07-25 19:00:00
272,2198,payment_received,Payment received,We have received your payment. Thank you.,1,2026-08-12 08:00:00
273,2264,appointment_confirmed,Appointment confirmed,Your appointment has been confirmed by the clinic.,1,2026-07-08 17:00:00
274,2256,review_request,Share your feedback,Please leave a review about your recent consultation.,1,2026-07-11 04:00:00
275,2029,appointment_reminder,Upcoming appointment reminder,Your appointment is scheduled soon. Please don't forget to attend.,0,2026-08-16 03:00:00
276,2068,review_request,Share your feedback,Please leave a review about your recent consultation.,0,2026-08-24 13:00:00
277,1016,payment_received,Payment received,We have received your payment. Thank you.,1,2026-07-21 13:00:00
278,2356,doctor_reply,Doctor replied,Your doctor has replied to your message.,0,2026-08-16 08:00:00
279,2058,appointment_cancelled,Appointment cancelled,Your appointment has been cancelled. Please reschedule if needed.,1,2026-08-30 11:00:00
280,2127,appointment_confirmed,Appointment confirmed,Your appointment has been confirmed by the clinic.,1,2026-08-28 04:00:00
281,2320,system,System notification,There has been an update to your account or app settings.,1,2026-08-23 14:00:00
282,2117,new_message,New message received,You have a new message in your consultation chat.,0,2026-07-08 06:00:00
283,2089,doctor_reply,Doctor replied,Your doctor has replied to your message.,1,2026-07-10 04:00:00
